,Headline,Snippet,Lead paragraph,Source,Date
18,Trump Puts Pentagon in Political Crossfire With Tata Appointment,The president sidestepped Congress when it became clear that his nominee for a top Defense Department position would not win Senate approval.,"WASHINGTON — In making an end run around Congress to appoint Anthony J. Tata, a retired brigadier general with a history of Islamophobic and other inflammatory views, to a top Defense Department post, President Trump has once again put the military exactly where it does not want to be: in the middle of a political battle that could hurt bipartisan support for the Pentagon.",The New York Times,2020-08-03 21:19:00+00:00
19,The Magic of Baked Feta,"Yasmin Fahr’s sheet-pan baked feta, Angela Dimayuga’s black cherry-pistachio salad, and more recipes.","The week’s most popular dishes include Yasmin Fahr’s sheet-pan baked feta with broccolini, tomatoes and lemon (above), Angela Dimayuga’s black cherry-pistachio salad with charred scallion vinaigrette and Yewande Komolafe’s spicy cucumbers with yogurt, lemon and herbs. Find more recipes in the collection below.",The New York Times,2020-08-01 12:56:25+00:00
20,U.A.E. Becomes First Arab Nation to Open a Nuclear Power Plant,The launch is raising concerns about the growing number of nuclear programs in the volatile Middle East.,"BEIRUT, Lebanon — The United Arab Emirates became the first Arab country to open a nuclear power plant on Saturday, raising concerns about the long-term consequences of introducing more nuclear programs to the Middle East.",The New York Times,2020-08-01 22:20:12+00:00
21,Birx Says U.S. Epidemic Is in a ‘New Phase’,"She and other top health officials in the Trump administration warn states of a deepening spread of the coronavirus, in both rural and urban areas.","Dr. Deborah L. Birx, the Trump administration’s coronavirus coordinator, said on Sunday that the nation was in a “new phase” of the coronavirus epidemic that was much more sprawling across the country than last spring’s outbreaks in major cities like New York and Seattle.",The New York Times,2020-08-02 17:06:58+00:00
22,"‘Perry Mason’ Season 1, Episode 7: Resurrection Sunday","As Perry gathers evidence, a clearer picture of Baby Charlie’s fate emerges. Meanwhile, the moment of truth arrives for Emily and Sister Alice.","“I am fighting — for a woman’s life!” Perry Mason yells at his friend and partner Pete Strickland. “I can’t lose, Pete! I can’t [expletive] this up like … ”",The New York Times,2020-08-03 02:00:04+00:00
23,"Robert Gnaizda, Lawyer Who Fought for Social Justice, Dies at 83","He challenged redlining banks, employers who discriminated in hiring and, early in his career, Southern counties that thwarted Black voters.","Robert Gnaizda, a lawyer who gained a national reputation defending the civil and economic rights of the poor and minority groups so successfully that lawsuits against their adversaries often proved unnecessary, died on July 11 in San Francisco. He was 83.",The New York Times,2020-08-01 13:07:35+00:00
24,"Alienated by Trump, Suburban Voters Sour on G.O.P. in Battle for the House",House Republicans are on the defensive in suburban strongholds as voters reject President Trump’s handling of the coronavirus.,"BALLWIN, Mo. — For Heather Vaughn, a substitute teacher and graduate student, the decision last month to place the black sign with colorful lettering in her front yard — the one that said, “Black Lives Matter” and “Science is Real” — felt like an act of courage.",The New York Times,2020-08-01 14:15:25+00:00
25,"Víctor Víctor, Known for the Hit ‘Mesita de Noche,’ Dies at 71","A singer, songwriter and producer, Mr. Víctor also worked to bring theater, music and dance lessons to underprivileged communities. He died of Covid-19.",This obituary is part of a series about people who have died in the coronavirus pandemic. Read about others here.,The New York Times,2020-08-01 22:10:14+00:00
26,The Benefits of Talking to Strangers,Casual connections with people we encounter in the course of daily life can give us the sense of belonging to a community.,"I’m a lifelong extrovert who readily establishes and relishes casual contacts with people I encounter during daily life: while walking my dog, shopping for groceries, working out at the Y, even sweeping my sidewalk. These ephemeral connections add variety to my life, are a source of useful information and often provide needed emotional and physical support. Equally important, they nearly always leave me with a smile on my face (although now hidden under a mask!).",The New York Times,2020-08-03 09:00:08+00:00
27,The Strange Lives of Objects in the Coronavirus Era,The pandemic has inspired a flurry of new and novel items — and given ordinary ones new meanings.,"Plastic bubbles that hover over restaurant tables. Rods for contactless elevator-button-pushing. Portable seats that attach to lampposts, for shoppers waiting outside crowd-controlled stores. Dresses with skirts that have a six-foot radius. Podlike enclosures to keep gym-goers separate. A plastic sleeve that enables hugging at nursing homes. Masks in every imaginable form.",The New York Times,2020-08-01 09:01:05+00:00
28,NASA Astronauts in SpaceX Capsule Make First Water Landing Since 1975,Bob Behnken and Doug Hurley splashed down on Sunday in the Gulf of Mexico in the Crew Dragon spacecraft.,"The first astronaut trip to orbit by a private company has splashed down safely in the Gulf of Mexico. Two astronauts dropped out of orbit in what was the first water landing by NASA since 1975, when the agency’s crews were still flying in the Apollo modules used for the historic American moon missions.",The New York Times,2020-08-02 04:01:06+00:00
29,"Yasmin Monet Prince, a New Action Heroine","The young British actress stars in “Hanna,” the action drama on Amazon.",Name: Yasmin Monet Prince,The New York Times,2020-08-01 09:00:07+00:00
